"product_id","primary_event","current_n","current_doses","reference_n","reference_doses","ratio","ratio_lower","ratio_upper","interval_status","current_period","reference_period","comparison","current_per_100k","reference_per_100k","plot_eligible"
"SYN_A","Vomiting",82,790312,35,811064,2.40437584867025,1.60013669368296,3.68123406696346,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",10.375649110731,4.31531913634436,TRUE
"SYN_A","Diarrhea",25,790312,31,811064,0.827627406603648,0.468516150015541,1.44834233058372,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.16330765571066,3.82213980647643,TRUE
"SYN_A","Lethargy",33,790312,45,811064,0.752589188404917,0.465250300273962,1.20590988944967,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",4.17556610553807,5.54826746101417,TRUE
"SYN_A","Pruritus",27,790312,35,811064,0.791684730659718,0.4608828975397,1.34618712053949,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.41637226816751,4.31531913634436,TRUE
"SYN_A","Decreased appetite",24,790312,19,811064,1.29632587476445,0.68062697320126,2.50305567932612,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.03677534948223,2.34260181687265,TRUE
"SYN_A","Ataxia",5,790312,12,811064,0.427607493411885,0.118015203826049,1.30393664688019,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",0.632661531142131,1.47953798960378,TRUE
"SYN_A","Tremor",11,790312,13,811064,0.868372140467212,0.352250569064138,2.10059373027586,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",1.39185536851269,1.60283282207076,TRUE
"SYN_A","Hypersensitivity",17,790312,29,811064,0.601599507972582,0.310129789234983,1.13208355294592,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",2.15104920588325,3.57555014154247,TRUE
"SYN_B","Vomiting",44,922151,45,919315,0.974770702171095,0.628490196837542,1.51096008469961,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",4.77145283147771,4.89494895656005,TRUE
"SYN_B","Diarrhea",28,922151,36,919315,0.775385785817917,0.455756559994857,1.30672435904802,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.03637907457672,3.91595916524804,TRUE
"SYN_B","Lethargy",38,922151,37,919315,1.02386848938119,0.633739701457682,1.65554170039016,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",4.12080017263984,4.02473580872715,TRUE
"SYN_B","Pruritus",40,922151,42,919315,0.949451982634184,0.600107585948097,1.50008185505084,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",4.33768439225246,4.56861902612271,TRUE
"SYN_B","Decreased appetite",33,922151,30,919315,1.09661703994248,0.648392885989059,1.86142160237696,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.57858962360828,3.26329930437337,TRUE
"SYN_B","Ataxia",18,922151,17,919315,1.05556720422271,0.513318740332947,2.1797293948293,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",1.95195797651361,1.84920293914491,TRUE
"SYN_B","Tremor",6,922151,11,919315,0.543777044599578,0.165124208322894,1.60408526250863,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",0.650652658837869,1.19654307827023,TRUE
"SYN_B","Hypersensitivity",24,922151,20,919315,1.19630949811907,0.633294772742173,2.28343490121303,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",2.60261063535148,2.17553286958224,TRUE
"SYN_C","Vomiting",28,524331,24,552938,1.23031888889525,0.687644756070263,2.2173158758972,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",5.34013819514772,4.34045046641757,TRUE
"SYN_C","Diarrhea",19,524331,27,552938,0.742097107587609,0.38999208110461,1.38501153142801,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.62366520385024,4.88300677471977,TRUE
"SYN_C","Lethargy",24,524331,16,552938,1.58183857143674,0.806209858975543,3.1865795186644,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",4.57726131012662,2.89363364427838,TRUE
"SYN_C","Pruritus",20,524331,25,552938,0.843647238099598,0.444339310867446,1.58201326805756,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.81438442510552,4.52130256918497,TRUE
"SYN_C","Decreased appetite",20,524331,19,552938,1.11006215539421,0.562372292460788,2.19843776632412,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",3.81438442510552,3.43618995258058,TRUE
"SYN_C","Ataxia",11,524331,6,552938,1.93335825397824,0.655398975398813,6.36681833740987,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",2.09791143380803,1.08511261660439,TRUE
"SYN_C","Tremor",11,524331,12,552938,0.966679126989122,0.386481607948632,2.39308688468436,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",2.09791143380803,2.17022523320879,TRUE
"SYN_C","Hypersensitivity",11,524331,14,552938,0.828582108847819,0.340403994214434,1.96466367981687,"Finite estimate","2025 H2","2025 H1","2025 H2 vs 2025 H1",2.09791143380803,2.53192943874358,TRUE
"SYN_A","Vomiting",82,790312,37,744249,2.08704499324659,1.39934462440453,3.16586302016155,"Finite estimate","2025 H2","2024 H2","2025 H2 vs 2024 H2",10.375649110731,4.97145444602546,TRUE
