"product_id","period","primary_event","n_reports","doses_distributed","reports_per_100k_doses"
"SYN_A","2024 H2","Vomiting",37,744249,4.97145444602546
"SYN_A","2024 H2","Diarrhea",35,744249,4.70272717867273
"SYN_A","2024 H2","Lethargy",31,744249,4.16527264396727
"SYN_A","2024 H2","Pruritus",32,744249,4.29963627764364
"SYN_A","2024 H2","Decreased appetite",28,744249,3.76218174293818
"SYN_A","2024 H2","Ataxia",8,744249,1.07490906941091
"SYN_A","2024 H2","Tremor",9,744249,1.20927270308727
"SYN_A","2024 H2","Hypersensitivity",12,744249,1.61236360411636
"SYN_A","2025 H1","Vomiting",35,811064,4.31531913634436
"SYN_A","2025 H1","Diarrhea",31,811064,3.82213980647643
"SYN_A","2025 H1","Lethargy",45,811064,5.54826746101417
"SYN_A","2025 H1","Pruritus",35,811064,4.31531913634436
"SYN_A","2025 H1","Decreased appetite",19,811064,2.34260181687265
"SYN_A","2025 H1","Ataxia",12,811064,1.47953798960378
"SYN_A","2025 H1","Tremor",13,811064,1.60283282207076
"SYN_A","2025 H1","Hypersensitivity",29,811064,3.57555014154247
"SYN_A","2025 H2","Vomiting",82,790312,10.375649110731
"SYN_A","2025 H2","Diarrhea",25,790312,3.16330765571066
"SYN_A","2025 H2","Lethargy",33,790312,4.17556610553807
"SYN_A","2025 H2","Pruritus",27,790312,3.41637226816751
"SYN_A","2025 H2","Decreased appetite",24,790312,3.03677534948223
"SYN_A","2025 H2","Ataxia",5,790312,0.632661531142131
"SYN_A","2025 H2","Tremor",11,790312,1.39185536851269
"SYN_A","2025 H2","Hypersensitivity",17,790312,2.15104920588325
"SYN_B","2024 H2","Vomiting",27,630652,4.28128349707921
"SYN_B","2024 H2","Diarrhea",18,630652,2.85418899805281
"SYN_B","2024 H2","Lethargy",30,630652,4.75698166342135
"SYN_B","2024 H2","Pruritus",31,630652,4.91554771886873
"SYN_B","2024 H2","Decreased appetite",21,630652,3.32988716439494
"SYN_B","2024 H2","Ataxia",7,630652,1.10996238813165
"SYN_B","2024 H2","Tremor",6,630652,0.95139633268427
"SYN_B","2024 H2","Hypersensitivity",18,630652,2.85418899805281
"SYN_B","2025 H1","Vomiting",45,919315,4.89494895656005
"SYN_B","2025 H1","Diarrhea",36,919315,3.91595916524804
"SYN_B","2025 H1","Lethargy",37,919315,4.02473580872715
"SYN_B","2025 H1","Pruritus",42,919315,4.56861902612271
"SYN_B","2025 H1","Decreased appetite",30,919315,3.26329930437337
"SYN_B","2025 H1","Ataxia",17,919315,1.84920293914491
"SYN_B","2025 H1","Tremor",11,919315,1.19654307827023
"SYN_B","2025 H1","Hypersensitivity",20,919315,2.17553286958224
"SYN_B","2025 H2","Vomiting",44,922151,4.77145283147771
"SYN_B","2025 H2","Diarrhea",28,922151,3.03637907457672
"SYN_B","2025 H2","Lethargy",38,922151,4.12080017263984
"SYN_B","2025 H2","Pruritus",40,922151,4.33768439225246
"SYN_B","2025 H2","Decreased appetite",33,922151,3.57858962360828
"SYN_B","2025 H2","Ataxia",18,922151,1.95195797651361
"SYN_B","2025 H2","Tremor",6,922151,0.650652658837869
"SYN_B","2025 H2","Hypersensitivity",24,922151,2.60261063535148
"SYN_C","2024 H2","Vomiting",13,497703,2.61199952582162
"SYN_C","2024 H2","Diarrhea",18,497703,3.61661472806071
"SYN_C","2024 H2","Lethargy",21,497703,4.21938384940416
"SYN_C","2024 H2","Pruritus",21,497703,4.21938384940416
"SYN_C","2024 H2","Decreased appetite",8,497703,1.60738432358254
"SYN_C","2024 H2","Ataxia",6,497703,1.2055382426869
"SYN_C","2024 H2","Tremor",6,497703,1.2055382426869
"SYN_C","2024 H2","Hypersensitivity",10,497703,2.00923040447817
"SYN_C","2025 H1","Vomiting",24,552938,4.34045046641757
"SYN_C","2025 H1","Diarrhea",27,552938,4.88300677471977
"SYN_C","2025 H1","Lethargy",16,552938,2.89363364427838
"SYN_C","2025 H1","Pruritus",25,552938,4.52130256918497
"SYN_C","2025 H1","Decreased appetite",19,552938,3.43618995258058
"SYN_C","2025 H1","Ataxia",6,552938,1.08511261660439
"SYN_C","2025 H1","Tremor",12,552938,2.17022523320879
"SYN_C","2025 H1","Hypersensitivity",14,552938,2.53192943874358
"SYN_C","2025 H2","Vomiting",28,524331,5.34013819514772
"SYN_C","2025 H2","Diarrhea",19,524331,3.62366520385024
"SYN_C","2025 H2","Lethargy",24,524331,4.57726131012662
"SYN_C","2025 H2","Pruritus",20,524331,3.81438442510552
"SYN_C","2025 H2","Decreased appetite",20,524331,3.81438442510552
"SYN_C","2025 H2","Ataxia",11,524331,2.09791143380803
"SYN_C","2025 H2","Tremor",11,524331,2.09791143380803
"SYN_C","2025 H2","Hypersensitivity",11,524331,2.09791143380803
